lgacode,lganame,statecode,source,statename,capitalcity,geozone,longitude,latitude
18025,Kiyawa,JI,EHA-MICHAEL,Jigawa,Dutse,North West,9.600542957,11.93084953
20023,Dambatta,KN,EHA-OLUSEYE,Kano,Kano,North West,8.645744573,12.55982692
3008,Ibeno,AK,EHA-SAMUEL,Akwa Ibom,Uyo,South South,8.215585384,4.604041311
30018,Ilesha East,OS,GRID,Osun,Oshogbo,South West,4.708309543,7.587335959
20014,Rano,KN,EHA-SAMUEL,Kano,Kano,North West,8.649111876,11.63708255
20024,Dala,KN,EHA-OLUSEYE,Kano,Kano,North West,8.469386442,12.05930039
18014,Miga,JI,EHA-SAMUEL,Jigawa,Dutse,North West,9.67216724,12.33360539
20028,Bunkure,KN,EHA-OLUSEYE,Kano,Kano,North West,8.58242233,11.76634315
18022,Birnin Kudu,JI,EHA_ABRAHAM,Jigawa,Dutse,North West,9.661440849,11.68099976
20012,Gwale,KN,EHA-OLUSEYE,Kano,Kano,North West,8.470387646,12.02290924
20030,Fagge,KN,EHA-SAMUEL,Kano,Kano,North West,8.512175055,12.07191007
17003,Ehime -Mbano,IM,GRID,Imo,Owerri,South East,7.334750757,5.652350485
20020,Doguwa,KN,EHA-SAMUEL,Kano,Kano,North West,8.629322804,11.22368904
23013,Mopa-Muro,KO,WHO,Kogi,Lokoja,North Central,6.087030411,8.354029655
20043,Kano Municipal,KN,EHA-SAMUEL,Kano,Kano,North West,8.521157572,12.01183794
20019,Warawa,KN,EHA-SAMUEL,Kano,Kano,North West,8.715235839,11.98254702
20022,Dawakin Kudu,KN,EHA-SAMUEL,Kano,Kano,North West,8.673060365,11.93707201
18027,Kafin Hausa,JI,EHA-OLUSEYE,Jigawa,Dutse,North West,10.10619439,12.38271326
10015,Oshimili South,DE,WHO,Delta,Asaba,South South,6.762889385,6.185385704
20033,Kibiya,KN,EHA-OLUSEYE,Kano,Kano,North West,8.692580764,11.62923492
10014,Oshimili North,DE,WHO,Delta,Asaba,South South,6.725022316,6.265763283
20037,Nassarawa,KN,EHA-SAMUEL,Kano,Kano,North West,8.548754739,12.05329043
20010,Gezawa,KN,EHA-SAMUEL,Kano,Kano,North West,8.758932468,12.16230719
31028,Ori Ire,OY,EHA_ABRAHAM,Oyo,Ibandan,South West,4.348138809,8.391195297
20006,Garko,KN,EHA-OLUSEYE,Kano,Kano,North West,8.868852933,11.72749727
5007,Gamawa,BA,EHA-OLUSEYE,Bauchi,Bauchi,North East,10.76609199,12.36024177
20002,Takai,KN,EHA_ABRAHAM,Kano,Kano,North West,9.140947229,11.65264549
20027,Wudil,KN,EHA-OLUSEYE,Kano,Kano,North West,8.89707877,11.90533245
20007,Gaya,KN,EHA-OLUSEYE,Kano,Kano,North West,8.979753773,11.93308997
20009,Albasu,KN,EHA-SAMUEL,Kano,Kano,North West,9.002173448,11.73786114
33009,Eleme,RI,WHO,Rivers,Port Harcourt,South South,7.181752205,4.838303089
18023,Maigatari,JI,EHA-SAMUEL,Jigawa,Dutse,North West,9.700557638,12.80260708
18012,Dutse,JI,EHA-MICHAEL,Jigawa,Dutse,North West,9.334441518,12.03290002
18006,Gumel,JI,EHA-TOSIN,Jigawa,Dutse,North West,9.438911955,12.70580416
25017,Shomolu,LA,EHA-OLUSEYE,Lagos,Lagos,South West,3.371594015,6.531968591
18026,Jahun,JI,EHA-OLUSEYE,Jigawa,Dutse,North West,9.55072947,12.19156878
30006,Boripe,OS,GRID,Osun,Oshogbo,South West,4.593114368,7.801595804
35006,Ibi,TA,EHA-OLUSEYE,Taraba,Jalingo,North East,10.27624607,8.767928123
2004,Girei,AD,Abraham.Oluseye,Adamawa,Yola,North East,12.57504883,9.584002828
5006,Dass,BA,EHA-MICHAEL,Bauchi,Bauchi,North East,9.432255091,10.14821756
29005,Akure North,ON,EHA-OLUSEYE,Ondo,Akure,South West,5.322216511,7.43576479
112,Hawul,BR,Oluseye.Abraham,Borno,Maiduguri,North East,12.02706455,10.66012345
5008,Ganjuwa,BA,Abraham.Oluseye,Bauchi,Bauchi,North East,10.28523812,11.10413494
19019,Sabon Gari,KD,EHA-OLUSEYE,Kaduna,Kaduna,North West,7.725325828,11.24621887
18001,Kaugama,JI,EHA-OLUSEYE,Jigawa,Dutse,North West,9.711651194,12.81391376
